titulo,genero,año,horas_promedio,calificacion,plataforma
Minecraft,Aventura,2011,200,9.5,PC
Among Us,Social,2018,50,8.2,PC
Fortnite,Acción,2017,120,7.8,PC
Stardew Valley,Simulación,2016,150,9.4,PC
Terraria,Aventura,2011,100,9.3,PC
Celeste,Plataformas,2018,15,9.6,PC
Hollow Knight,Plataformas,2017,40,9.4,PC
Undertale,RPG,2015,8,9.7,PC
Portal 2,Puzzles,2011,10,9.8,PC
Overwatch,Acción,2016,300,8.0,PC
Rocket League,Deportes,2015,200,8.5,PC
The Witcher 3,RPG,2015,100,9.5,PC
Hades,Acción,2020,60,9.6,PC
Genshin Impact,RPG,2020,400,8.1,PC
Fall Guys,Casual,2020,30,7.9,PC
Cuphead,Plataformas,2017,12,8.8,PC
Disco Elysium,RPG,2019,25,9.7,PC
Ori and the Blind Forest,Plataformas,2015,10,9.3,PC
Dead Cells,Acción,2018,35,9.2,PC
Spiritfarer,Simulación,2020,30,9.1,PC
